Entity,Code,Year,Event,Value
Australasia,NA,1980,Moderate bleaching events (1-30% bleached),3
Australasia,NA,1980,Severe bleaching events (>30% bleached),0
Australasia,NA,1981,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1981,Severe bleaching events (>30% bleached),0
Australasia,NA,1982,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1982,Severe bleaching events (>30% bleached),0
Australasia,NA,1983,Moderate bleaching events (1-30% bleached),3
Australasia,NA,1983,Severe bleaching events (>30% bleached),1
Australasia,NA,1984,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1984,Severe bleaching events (>30% bleached),0
Australasia,NA,1985,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1985,Severe bleaching events (>30% bleached),0
Australasia,NA,1986,Moderate bleaching events (1-30% bleached),2
Australasia,NA,1986,Severe bleaching events (>30% bleached),0
Australasia,NA,1987,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1987,Severe bleaching events (>30% bleached),1
Australasia,NA,1988,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1988,Severe bleaching events (>30% bleached),1
Australasia,NA,1989,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1989,Severe bleaching events (>30% bleached),0
Australasia,NA,1990,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1990,Severe bleaching events (>30% bleached),0
Australasia,NA,1991,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1991,Severe bleaching events (>30% bleached),1
Australasia,NA,1992,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1992,Severe bleaching events (>30% bleached),0
Australasia,NA,1993,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1993,Severe bleaching events (>30% bleached),1
Australasia,NA,1994,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1994,Severe bleaching events (>30% bleached),0
Australasia,NA,1995,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1995,Severe bleaching events (>30% bleached),1
Australasia,NA,1996,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1996,Severe bleaching events (>30% bleached),0
Australasia,NA,1997,Moderate bleaching events (1-30% bleached),2
Australasia,NA,1997,Severe bleaching events (>30% bleached),0
Australasia,NA,1998,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1998,Severe bleaching events (>30% bleached),19
Australasia,NA,1999,Moderate bleaching events (1-30% bleached),2
Australasia,NA,1999,Severe bleaching events (>30% bleached),0
Australasia,NA,2000,Moderate bleaching events (1-30% bleached),2
Australasia,NA,2000,Severe bleaching events (>30% bleached),2
Australasia,NA,2001,Moderate bleaching events (1-30% bleached),3
Australasia,NA,2001,Severe bleaching events (>30% bleached),0
Australasia,NA,2002,Moderate bleaching events (1-30% bleached),1
Australasia,NA,2002,Severe bleaching events (>30% bleached),4
Australasia,NA,2003,Moderate bleaching events (1-30% bleached),0
Australasia,NA,2003,Severe bleaching events (>30% bleached),1
Australasia,NA,2004,Moderate bleaching events (1-30% bleached),3
Australasia,NA,2004,Severe bleaching events (>30% bleached),0
Australasia,NA,2005,Moderate bleaching events (1-30% bleached),5
Australasia,NA,2005,Severe bleaching events (>30% bleached),1
Australasia,NA,2006,Moderate bleaching events (1-30% bleached),3
Australasia,NA,2006,Severe bleaching events (>30% bleached),0
Australasia,NA,2007,Moderate bleaching events (1-30% bleached),2
Australasia,NA,2007,Severe bleaching events (>30% bleached),2
Australasia,NA,2008,Moderate bleaching events (1-30% bleached),3
Australasia,NA,2008,Severe bleaching events (>30% bleached),2
Australasia,NA,2009,Moderate bleaching events (1-30% bleached),3
Australasia,NA,2009,Severe bleaching events (>30% bleached),0
Australasia,NA,2010,Moderate bleaching events (1-30% bleached),3
Australasia,NA,2010,Severe bleaching events (>30% bleached),15
Australasia,NA,2011,Moderate bleaching events (1-30% bleached),2
Australasia,NA,2011,Severe bleaching events (>30% bleached),3
Australasia,NA,2012,Moderate bleaching events (1-30% bleached),2
Australasia,NA,2012,Severe bleaching events (>30% bleached),1
Australasia,NA,2013,Moderate bleaching events (1-30% bleached),1
Australasia,NA,2013,Severe bleaching events (>30% bleached),1
Australasia,NA,2014,Moderate bleaching events (1-30% bleached),4
Australasia,NA,2014,Severe bleaching events (>30% bleached),0
Australasia,NA,2015,Moderate bleaching events (1-30% bleached),1
Australasia,NA,2015,Severe bleaching events (>30% bleached),2
Australasia,NA,2016,Moderate bleaching events (1-30% bleached),6
Australasia,NA,2016,Severe bleaching events (>30% bleached),21
Indian Ocean/Middle East,NA,1980,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1980,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1981,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1981,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1982,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1982,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1983,Moderate bleaching events (1-30% bleached),1
Indian Ocean/Middle East,NA,1983,Severe bleaching events (>30% bleached),3
Indian Ocean/Middle East,NA,1984,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1984,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1985,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1985,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1986,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1986,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1987,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1987,Severe bleaching events (>30% bleached),4
Indian Ocean/Middle East,NA,1988,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1988,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1989,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1989,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1990,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1990,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1991,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1991,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1992,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1992,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1993,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1993,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1994,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1994,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1995,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1995,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1996,Moderate bleaching events (1-30% bleached),1
Indian Ocean/Middle East,NA,1996,Severe bleaching events (>30% bleached),1
Indian Ocean/Middle East,NA,1997,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1997,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,1998,Moderate bleaching events (1-30% bleached),4
Indian Ocean/Middle East,NA,1998,Severe bleaching events (>30% bleached),17
Indian Ocean/Middle East,NA,1999,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,1999,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2000,Moderate bleaching events (1-30% bleached),1
Indian Ocean/Middle East,NA,2000,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2001,Moderate bleaching events (1-30% bleached),3
Indian Ocean/Middle East,NA,2001,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2002,Moderate bleaching events (1-30% bleached),3
Indian Ocean/Middle East,NA,2002,Severe bleaching events (>30% bleached),3
Indian Ocean/Middle East,NA,2003,Moderate bleaching events (1-30% bleached),6
Indian Ocean/Middle East,NA,2003,Severe bleaching events (>30% bleached),1
Indian Ocean/Middle East,NA,2004,Moderate bleaching events (1-30% bleached),4
Indian Ocean/Middle East,NA,2004,Severe bleaching events (>30% bleached),2
Indian Ocean/Middle East,NA,2005,Moderate bleaching events (1-30% bleached),6
Indian Ocean/Middle East,NA,2005,Severe bleaching events (>30% bleached),5
Indian Ocean/Middle East,NA,2006,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,2006,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2007,Moderate bleaching events (1-30% bleached),3
Indian Ocean/Middle East,NA,2007,Severe bleaching events (>30% bleached),1
Indian Ocean/Middle East,NA,2008,Moderate bleaching events (1-30% bleached),0
Indian Ocean/Middle East,NA,2008,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2009,Moderate bleaching events (1-30% bleached),2
Indian Ocean/Middle East,NA,2009,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2010,Moderate bleaching events (1-30% bleached),1
Indian Ocean/Middle East,NA,2010,Severe bleaching events (>30% bleached),13
Indian Ocean/Middle East,NA,2011,Moderate bleaching events (1-30% bleached),5
Indian Ocean/Middle East,NA,2011,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2012,Moderate bleaching events (1-30% bleached),1
Indian Ocean/Middle East,NA,2012,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2013,Moderate bleaching events (1-30% bleached),1
Indian Ocean/Middle East,NA,2013,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2014,Moderate bleaching events (1-30% bleached),2
Indian Ocean/Middle East,NA,2014,Severe bleaching events (>30% bleached),0
Indian Ocean/Middle East,NA,2015,Moderate bleaching events (1-30% bleached),2
Indian Ocean/Middle East,NA,2015,Severe bleaching events (>30% bleached),4
Indian Ocean/Middle East,NA,2016,Moderate bleaching events (1-30% bleached),4
Indian Ocean/Middle East,NA,2016,Severe bleaching events (>30% bleached),15
Pacific,NA,1980,Moderate bleaching events (1-30% bleached),0
Pacific,NA,1980,Severe bleaching events (>30% bleached),0
Pacific,NA,1981,Moderate bleaching events (1-30% bleached),0
Pacific,NA,1981,Severe bleaching events (>30% bleached),0
Pacific,NA,1982,Moderate bleaching events (1-30% bleached),0
Pacific,NA,1982,Severe bleaching events (>30% bleached),0
Pacific,NA,1983,Moderate bleaching events (1-30% bleached),1
Pacific,NA,1983,Severe bleaching events (>30% bleached),5
Pacific,NA,1984,Moderate bleaching events (1-30% bleached),0
Pacific,NA,1984,Severe bleaching events (>30% bleached),1
Pacific,NA,1985,Moderate bleaching events (1-30% bleached),0
Pacific,NA,1985,Severe bleaching events (>30% bleached),0
Pacific,NA,1986,Moderate bleaching events (1-30% bleached),1
Pacific,NA,1986,Severe bleaching events (>30% bleached),0
Pacific,NA,1987,Moderate bleaching events (1-30% bleached),0
Pacific,NA,1987,Severe bleaching events (>30% bleached),4
Pacific,NA,1988,Moderate bleaching events (1-30% bleached),1
Pacific,NA,1988,Severe bleaching events (>30% bleached),0
Pacific,NA,1989,Moderate bleaching events (1-30% bleached),0
Pacific,NA,1989,Severe bleaching events (>30% bleached),0
Pacific,NA,1990,Moderate bleaching events (1-30% bleached),0
Pacific,NA,1990,Severe bleaching events (>30% bleached),0
Pacific,NA,1991,Moderate bleaching events (1-30% bleached),0
Pacific,NA,1991,Severe bleaching events (>30% bleached),3
Pacific,NA,1992,Moderate bleaching events (1-30% bleached),3
Pacific,NA,1992,Severe bleaching events (>30% bleached),0
Pacific,NA,1993,Moderate bleaching events (1-30% bleached),0
Pacific,NA,1993,Severe bleaching events (>30% bleached),0
Pacific,NA,1994,Moderate bleaching events (1-30% bleached),1
Pacific,NA,1994,Severe bleaching events (>30% bleached),4
Pacific,NA,1995,Moderate bleaching events (1-30% bleached),2
Pacific,NA,1995,Severe bleaching events (>30% bleached),0
Pacific,NA,1996,Moderate bleaching events (1-30% bleached),1
Pacific,NA,1996,Severe bleaching events (>30% bleached),4
Pacific,NA,1997,Moderate bleaching events (1-30% bleached),1
Pacific,NA,1997,Severe bleaching events (>30% bleached),1
Pacific,NA,1998,Moderate bleaching events (1-30% bleached),4
Pacific,NA,1998,Severe bleaching events (>30% bleached),8
Pacific,NA,1999,Moderate bleaching events (1-30% bleached),1
Pacific,NA,1999,Severe bleaching events (>30% bleached),0
Pacific,NA,2000,Moderate bleaching events (1-30% bleached),0
Pacific,NA,2000,Severe bleaching events (>30% bleached),3
Pacific,NA,2001,Moderate bleaching events (1-30% bleached),3
Pacific,NA,2001,Severe bleaching events (>30% bleached),1
Pacific,NA,2002,Moderate bleaching events (1-30% bleached),0
Pacific,NA,2002,Severe bleaching events (>30% bleached),7
Pacific,NA,2003,Moderate bleaching events (1-30% bleached),2
Pacific,NA,2003,Severe bleaching events (>30% bleached),2
Pacific,NA,2004,Moderate bleaching events (1-30% bleached),2
Pacific,NA,2004,Severe bleaching events (>30% bleached),3
Pacific,NA,2005,Moderate bleaching events (1-30% bleached),2
Pacific,NA,2005,Severe bleaching events (>30% bleached),1
Pacific,NA,2006,Moderate bleaching events (1-30% bleached),7
Pacific,NA,2006,Severe bleaching events (>30% bleached),1
Pacific,NA,2007,Moderate bleaching events (1-30% bleached),0
Pacific,NA,2007,Severe bleaching events (>30% bleached),2
Pacific,NA,2008,Moderate bleaching events (1-30% bleached),0
Pacific,NA,2008,Severe bleaching events (>30% bleached),0
Pacific,NA,2009,Moderate bleaching events (1-30% bleached),1
Pacific,NA,2009,Severe bleaching events (>30% bleached),2
Pacific,NA,2010,Moderate bleaching events (1-30% bleached),2
Pacific,NA,2010,Severe bleaching events (>30% bleached),2
Pacific,NA,2011,Moderate bleaching events (1-30% bleached),1
Pacific,NA,2011,Severe bleaching events (>30% bleached),0
Pacific,NA,2012,Moderate bleaching events (1-30% bleached),1
Pacific,NA,2012,Severe bleaching events (>30% bleached),0
Pacific,NA,2013,Moderate bleaching events (1-30% bleached),0
Pacific,NA,2013,Severe bleaching events (>30% bleached),2
Pacific,NA,2014,Moderate bleaching events (1-30% bleached),0
Pacific,NA,2014,Severe bleaching events (>30% bleached),5
Pacific,NA,2015,Moderate bleaching events (1-30% bleached),2
Pacific,NA,2015,Severe bleaching events (>30% bleached),8
Pacific,NA,2016,Moderate bleaching events (1-30% bleached),0
Pacific,NA,2016,Severe bleaching events (>30% bleached),7
West Atlantic,NA,1980,Moderate bleaching events (1-30% bleached),2
West Atlantic,NA,1980,Severe bleaching events (>30% bleached),0
West Atlantic,NA,1981,Moderate bleaching events (1-30% bleached),1
West Atlantic,NA,1981,Severe bleaching events (>30% bleached),0
West Atlantic,NA,1982,Moderate bleaching events (1-30% bleached),1
West Atlantic,NA,1982,Severe bleaching events (>30% bleached),0
West Atlantic,NA,1983,Moderate bleaching events (1-30% bleached),3
West Atlantic,NA,1983,Severe bleaching events (>30% bleached),5
West Atlantic,NA,1984,Moderate bleaching events (1-30% bleached),0
West Atlantic,NA,1984,Severe bleaching events (>30% bleached),0
West Atlantic,NA,1985,Moderate bleaching events (1-30% bleached),1
West Atlantic,NA,1985,Severe bleaching events (>30% bleached),0
West Atlantic,NA,1986,Moderate bleaching events (1-30% bleached),1
West Atlantic,NA,1986,Severe bleaching events (>30% bleached),0
West Atlantic,NA,1987,Moderate bleaching events (1-30% bleached),6
West Atlantic,NA,1987,Severe bleaching events (>30% bleached),10
West Atlantic,NA,1988,Moderate bleaching events (1-30% bleached),6
West Atlantic,NA,1988,Severe bleaching events (>30% bleached),2
West Atlantic,NA,1989,Moderate bleaching events (1-30% bleached),3
West Atlantic,NA,1989,Severe bleaching events (>30% bleached),1
West Atlantic,NA,1990,Moderate bleaching events (1-30% bleached),7
West Atlantic,NA,1990,Severe bleaching events (>30% bleached),4
West Atlantic,NA,1991,Moderate bleaching events (1-30% bleached),3
West Atlantic,NA,1991,Severe bleaching events (>30% bleached),1
West Atlantic,NA,1992,Moderate bleaching events (1-30% bleached),2
West Atlantic,NA,1992,Severe bleaching events (>30% bleached),1
West Atlantic,NA,1993,Moderate bleaching events (1-30% bleached),3
West Atlantic,NA,1993,Severe bleaching events (>30% bleached),0
West Atlantic,NA,1994,Moderate bleaching events (1-30% bleached),2
West Atlantic,NA,1994,Severe bleaching events (>30% bleached),0
West Atlantic,NA,1995,Moderate bleaching events (1-30% bleached),6
West Atlantic,NA,1995,Severe bleaching events (>30% bleached),8
West Atlantic,NA,1996,Moderate bleaching events (1-30% bleached),2
West Atlantic,NA,1996,Severe bleaching events (>30% bleached),0
West Atlantic,NA,1997,Moderate bleaching events (1-30% bleached),8
West Atlantic,NA,1997,Severe bleaching events (>30% bleached),1
West Atlantic,NA,1998,Moderate bleaching events (1-30% bleached),7
West Atlantic,NA,1998,Severe bleaching events (>30% bleached),13
West Atlantic,NA,1999,Moderate bleaching events (1-30% bleached),7
West Atlantic,NA,1999,Severe bleaching events (>30% bleached),0
West Atlantic,NA,2000,Moderate bleaching events (1-30% bleached),5
West Atlantic,NA,2000,Severe bleaching events (>30% bleached),0
West Atlantic,NA,2001,Moderate bleaching events (1-30% bleached),2
West Atlantic,NA,2001,Severe bleaching events (>30% bleached),0
West Atlantic,NA,2002,Moderate bleaching events (1-30% bleached),4
West Atlantic,NA,2002,Severe bleaching events (>30% bleached),0
West Atlantic,NA,2003,Moderate bleaching events (1-30% bleached),9
West Atlantic,NA,2003,Severe bleaching events (>30% bleached),1
West Atlantic,NA,2004,Moderate bleaching events (1-30% bleached),5
West Atlantic,NA,2004,Severe bleaching events (>30% bleached),0
West Atlantic,NA,2005,Moderate bleaching events (1-30% bleached),6
West Atlantic,NA,2005,Severe bleaching events (>30% bleached),14
West Atlantic,NA,2006,Moderate bleaching events (1-30% bleached),6
West Atlantic,NA,2006,Severe bleaching events (>30% bleached),1
West Atlantic,NA,2007,Moderate bleaching events (1-30% bleached),5
West Atlantic,NA,2007,Severe bleaching events (>30% bleached),0
West Atlantic,NA,2008,Moderate bleaching events (1-30% bleached),4
West Atlantic,NA,2008,Severe bleaching events (>30% bleached),1
West Atlantic,NA,2009,Moderate bleaching events (1-30% bleached),4
West Atlantic,NA,2009,Severe bleaching events (>30% bleached),2
West Atlantic,NA,2010,Moderate bleaching events (1-30% bleached),10
West Atlantic,NA,2010,Severe bleaching events (>30% bleached),7
West Atlantic,NA,2011,Moderate bleaching events (1-30% bleached),3
West Atlantic,NA,2011,Severe bleaching events (>30% bleached),0
West Atlantic,NA,2012,Moderate bleaching events (1-30% bleached),2
West Atlantic,NA,2012,Severe bleaching events (>30% bleached),0
West Atlantic,NA,2013,Moderate bleaching events (1-30% bleached),2
West Atlantic,NA,2013,Severe bleaching events (>30% bleached),0
West Atlantic,NA,2014,Moderate bleaching events (1-30% bleached),3
West Atlantic,NA,2014,Severe bleaching events (>30% bleached),0
West Atlantic,NA,2015,Moderate bleaching events (1-30% bleached),8
West Atlantic,NA,2015,Severe bleaching events (>30% bleached),3
West Atlantic,NA,2016,Moderate bleaching events (1-30% bleached),0
West Atlantic,NA,2016,Severe bleaching events (>30% bleached),0
World,OWID_WRL,1980,Moderate bleaching events (1-30% bleached),5
World,OWID_WRL,1980,Severe bleaching events (>30% bleached),0
World,OWID_WRL,1981,Moderate bleaching events (1-30% bleached),2
World,OWID_WRL,1981,Severe bleaching events (>30% bleached),0
World,OWID_WRL,1982,Moderate bleaching events (1-30% bleached),1
World,OWID_WRL,1982,Severe bleaching events (>30% bleached),0
World,OWID_WRL,1983,Moderate bleaching events (1-30% bleached),8
World,OWID_WRL,1983,Severe bleaching events (>30% bleached),14
World,OWID_WRL,1984,Moderate bleaching events (1-30% bleached),1
World,OWID_WRL,1984,Severe bleaching events (>30% bleached),1
World,OWID_WRL,1985,Moderate bleaching events (1-30% bleached),1
World,OWID_WRL,1985,Severe bleaching events (>30% bleached),0
World,OWID_WRL,1986,Moderate bleaching events (1-30% bleached),4
World,OWID_WRL,1986,Severe bleaching events (>30% bleached),0
World,OWID_WRL,1987,Moderate bleaching events (1-30% bleached),7
World,OWID_WRL,1987,Severe bleaching events (>30% bleached),19
World,OWID_WRL,1988,Moderate bleaching events (1-30% bleached),8
World,OWID_WRL,1988,Severe bleaching events (>30% bleached),3
World,OWID_WRL,1989,Moderate bleaching events (1-30% bleached),3
World,OWID_WRL,1989,Severe bleaching events (>30% bleached),1
World,OWID_WRL,1990,Moderate bleaching events (1-30% bleached),7
World,OWID_WRL,1990,Severe bleaching events (>30% bleached),4
World,OWID_WRL,1991,Moderate bleaching events (1-30% bleached),3
World,OWID_WRL,1991,Severe bleaching events (>30% bleached),5
World,OWID_WRL,1992,Moderate bleaching events (1-30% bleached),6
World,OWID_WRL,1992,Severe bleaching events (>30% bleached),1
World,OWID_WRL,1993,Moderate bleaching events (1-30% bleached),4
World,OWID_WRL,1993,Severe bleaching events (>30% bleached),1
World,OWID_WRL,1994,Moderate bleaching events (1-30% bleached),4
World,OWID_WRL,1994,Severe bleaching events (>30% bleached),4
World,OWID_WRL,1995,Moderate bleaching events (1-30% bleached),9
World,OWID_WRL,1995,Severe bleaching events (>30% bleached),9
World,OWID_WRL,1996,Moderate bleaching events (1-30% bleached),4
World,OWID_WRL,1996,Severe bleaching events (>30% bleached),5
World,OWID_WRL,1997,Moderate bleaching events (1-30% bleached),12
World,OWID_WRL,1997,Severe bleaching events (>30% bleached),2
World,OWID_WRL,1998,Moderate bleaching events (1-30% bleached),16
World,OWID_WRL,1998,Severe bleaching events (>30% bleached),57
World,OWID_WRL,1999,Moderate bleaching events (1-30% bleached),10
World,OWID_WRL,1999,Severe bleaching events (>30% bleached),0
World,OWID_WRL,2000,Moderate bleaching events (1-30% bleached),8
World,OWID_WRL,2000,Severe bleaching events (>30% bleached),5
World,OWID_WRL,2001,Moderate bleaching events (1-30% bleached),11
World,OWID_WRL,2001,Severe bleaching events (>30% bleached),1
World,OWID_WRL,2002,Moderate bleaching events (1-30% bleached),7
World,OWID_WRL,2002,Severe bleaching events (>30% bleached),14
World,OWID_WRL,2003,Moderate bleaching events (1-30% bleached),18
World,OWID_WRL,2003,Severe bleaching events (>30% bleached),5
World,OWID_WRL,2004,Moderate bleaching events (1-30% bleached),14
World,OWID_WRL,2004,Severe bleaching events (>30% bleached),5
World,OWID_WRL,2005,Moderate bleaching events (1-30% bleached),19
World,OWID_WRL,2005,Severe bleaching events (>30% bleached),21
World,OWID_WRL,2006,Moderate bleaching events (1-30% bleached),16
World,OWID_WRL,2006,Severe bleaching events (>30% bleached),2
World,OWID_WRL,2007,Moderate bleaching events (1-30% bleached),11
World,OWID_WRL,2007,Severe bleaching events (>30% bleached),5
World,OWID_WRL,2008,Moderate bleaching events (1-30% bleached),7
World,OWID_WRL,2008,Severe bleaching events (>30% bleached),3
World,OWID_WRL,2009,Moderate bleaching events (1-30% bleached),10
World,OWID_WRL,2009,Severe bleaching events (>30% bleached),4
World,OWID_WRL,2010,Moderate bleaching events (1-30% bleached),16
World,OWID_WRL,2010,Severe bleaching events (>30% bleached),37
World,OWID_WRL,2011,Moderate bleaching events (1-30% bleached),11
World,OWID_WRL,2011,Severe bleaching events (>30% bleached),3
World,OWID_WRL,2012,Moderate bleaching events (1-30% bleached),6
World,OWID_WRL,2012,Severe bleaching events (>30% bleached),1
World,OWID_WRL,2013,Moderate bleaching events (1-30% bleached),5
World,OWID_WRL,2013,Severe bleaching events (>30% bleached),3
World,OWID_WRL,2014,Moderate bleaching events (1-30% bleached),9
World,OWID_WRL,2014,Severe bleaching events (>30% bleached),5
World,OWID_WRL,2015,Moderate bleaching events (1-30% bleached),14
World,OWID_WRL,2015,Severe bleaching events (>30% bleached),16
World,OWID_WRL,2016,Moderate bleaching events (1-30% bleached),11
World,OWID_WRL,2016,Severe bleaching events (>30% bleached),43
